"","NS40_1","NS40_2","NS40_3","NS40_4","NS40_5","NS40_6","NS40_7","NS40_8","NS69_1","NS69_2","NS69_3","NS69_4","NS69_5","NS69_6","NS69_7","NS122_1","NS122_2","NS122_3","NS122_4","NS122_5","NS122_6","NS122_7","NS122_8","NS122_9","NS123_1","NS123_2","NS123_3","NS123_4","NS123_5","NS123_6","NS123_7","NS123_8","NS150_1","NS150_2","NS150_3","NS150_4","NS150_5","NS150_6","NS150_7","NS150_8","NS150_9","NS246_1","NS246_2","NS246_3","NS246_4","NS246_5","NS246_6","NS246_7","NS246_8","NS246_9"
"hsa-miR-320c",1.51944677844093,1.75778757822535,1.70894727287985,1.73681443659512,1.79498318399578,2.04174801775969,2.35959673459502,1.81325600967404,1.81167409575308,1.71069835057796,2.15092086580898,1.7982315148387,1.56132990697978,1.84956240598963,1.81655489712798,1.83372983042802,2.66755436387571,1.8453294981211,1.84017151005053,1.79557754794968,1.83521315507639,1.82895884033549,1.94694853128463,1.62443586364671,1.51643470110108,1.84026677046683,1.72926950207279,1.76149973040993,1.82998774672049,1.74030326151997,1.83329587211022,1.73497381088756,2.17885738870542,1.83773728281644,2.43584191750476,1.81166642179377,1.69268672478912,1.83727365470283,1.89214199969769,3.01195903058494,1.77106715538837,2.14443019895131,1.86177213567088,1.82997362334124,2.12403088670673,1.84212372831723,2.29334564907529,1.80738176674048,1.82879955858706,1.83805871288788
"hsa-miR-320d",0.983456004971427,1.01733971762014,1.03045432929412,1.00143312785934,1.03435846590733,0.897476069030339,1.01572357043122,1.03359341501701,1.03639572094539,1.00103770614389,1.04203280759351,1.04074613796474,0.964283175803404,1.04756323561013,1.04698175304107,1.04809351599144,1.048522175491,1.04726450869504,1.04506912632037,0.973909647186737,1.03482017634494,1.04137259837709,1.0396352236785,1.49423532178463,1.31579899022591,1.04750514824773,1.30303965773699,1.03102012504853,1.04779363608207,1.02862611459065,1.04681554186871,1.01196628748362,1.03329124641592,1.04265585657193,1.04761345018726,1.04366658942859,1.01646164057055,1.04807714800711,1.02028741918488,2.12318542516265,1.03725054816777,1.07901096573901,1.04912116553615,1.04784282708292,1.04294147857318,1.04804074151829,1.03880041931794,1.02718863096208,1.04817384314197,1.04702161754712
"hsa-miR-320e",2.46697192658065,2.11037617876537,2.38456013153031,2.3632667295452,1.62314406078585,2.68606871848928,2.75900860704267,3.13899671114978,2.48668649186033,2.79947419937485,2.37159384232128,2.56303472573116,1.99113072690057,2.62351802416199,2.45592062768703,2.09681863038373,2.96036613006258,1.88871099383351,2.55842945921612,2.26458677512026,2.66827498706351,2.5311585695968,2.54914321402346,2.78303049070839,3.322479908902,1.9024859871674,2.65486226506993,2.66215929075915,2.34489724616206,1.8942886176981,2.66755477298788,2.48621957917114,2.42250332788116,2.51456413796813,2.90657037588417,2.56953125080285,2.97898770874064,2.55982989552126,3.36949204767839,3.24058586749289,2.76464467705952,2.11481708356507,2.56741496408636,2.74092666559177,2.48697261574996,2.53682387084395,2.63204312447493,1.43979189060447,1.9961460989115,2.38180831935987
"hsa-miR-323a-3p",1.94810794673894,1.9885204427279,1.95561493637738,2.51827879175761,2.06159727774944,1.64224844739516,2.0800006666762,2.10446924772376,2.74530811074418,2.04700975252266,2.66299597588144,2.8639281450368,2.40080216488013,2.18398165412646,2.12296821840447,2.18815330405003,2.15211259221366,2.1620140087096,2.2410833396435,1.75200526713433,2.44234222501455,2.49246642602174,2.07617477823352,2.37185834889295,2.34452709963431,2.15811351414621,2.00687534659427,2.67013094904026,2.17856464036747,2.01508375061063,2.07498797464022,2.63920123979822,2.12142351668771,2.78038276844817,2.23454506971218,2.26015894347567,1.99358561095253,2.44072367767053,2.52094958378816,2.26302143215865,2.72932721218085,1.95466983180084,2.12116939520321,2.15410605260445,1.96914241900288,2.16387601450067,2.01444614608315,1.98268784782776,2.19422693610666,2.21179564690994
"hsa-miR-323a-5p",0.374215871608601,0.379685129023058,0.377579544095435,0.377508295077365,0.383057498322584,0.912402887317605,0.377271557572542,0.381911166978607,0.382584187125788,0.370605402189748,0.383374238805758,0.383193533743951,0.364237571685081,0.384032686316265,0.384206757138773,0.383931344387945,0.383857356110941,0.384011968301805,0.384038416724724,0.375384717654706,0.381928582881188,0.383799952634632,0.38215937714787,0.357560565469159,0.366670142092589,0.38401990092816,0.370575739141221,0.379980683599234,0.38396929073935,0.380625347185679,0.383700968320671,0.378057022607714,0.38319663556856,0.383386496960501,0.383295425968935,0.38285457696367,0.378883392909217,0.383962505407328,0.379958446259543,0.273325437618243,0.38446086824777,0.37811139670643,0.383377694706125,0.38403294440231,0.382449880903665,0.383982983450156,0.379769274402347,0.377983677260685,0.383966191933259,0.383884992340773
"hsa-miR-323b-3p",2.12430022532278,1.96881566730534,1.79127816902563,1.97485880922692,1.87929859892306,1.83646433366028,1.98417401339301,1.4759660491449,1.37968273730557,1.88094732037908,1.77226908056917,1.88928297670659,1.67968390965428,2.31799647836201,2.02124400116928,2.21646112676687,2.15055188682867,2.46567363100739,2.28945155710605,1.78277585049548,1.96180426560777,1.5972452733258,1.92272288606756,2.24871562909994,1.89477723666529,1.41324929270273,1.9597060147431,2.37747569983186,1.83220416793905,2.0083437212144,1.94310397401794,2.11648805543693,1.92861991124385,2.05636282314534,2.3715148310319,1.82167689621523,1.09057927642319,2.17124720769764,1.99559078387246,3.33443919867727,2.03703903671736,1.67830417829905,1.93671971580213,0.766302021588562,2.0013975172747,0.884851112361918,1.71808500203428,1.62857361358555,1.35623825950467,1.4716193174456
"hsa-miR-323b-5p",0.924343581791184,0.417614729666808,0.416823217209273,0.414940104171809,0.421792830165246,0.381892818757048,0.414702698790448,0.420370207541079,0.421595802605825,0.589314386152962,0.422523940711878,0.422200298831679,0.397134924582369,0.423378614678272,0.423569366290412,0.423247520607715,0.423147295609266,0.423379624634785,0.423324920943672,0.41179480973201,0.420856744704539,0.422866646108098,0.421259458600818,0.393167795733952,0.403394342954101,0.423360934657158,0.408149593643151,0.418835270631918,0.423261545414648,0.418945236572633,0.42291244361804,0.415673440500558,0.422253291003074,0.42235372002098,0.42255195059749,0.421828975000473,0.417182568808595,0.423281424316373,0.41819428104125,0.290710155483536,0.422843709934397,0.415953278985232,0.42272174966276,0.423328460905363,0.421427477917216,0.423252553272045,0.418906069152291,0.415595245028286,0.423273569407179,0.423137387602082
"hsa-miR-324-3p",2.04863822044137,1.69332924534044,2.06225691890761,1.48841616576308,1.59078032538921,1.94926699095931,1.58587388408919,1.92317322360388,2.00139869046058,1.31153558060198,2.04653104687856,1.78039837984147,2.15635451459227,2.06423443709537,1.66224442651988,2.28422194610814,1.66220762638148,1.51378666054857,1.603823667992,2.20407034647712,1.79241644532825,1.75034978183739,1.2402278622219,1.98849100527303,2.14054993476657,1.62752982827036,1.71848554014556,2.08079848395879,2.04235788283877,1.52298932902384,1.96065769786373,1.91419154403283,1.94296671001086,1.97991322809638,2.19984416024532,2.20213248373084,1.85349362984299,2.02895037791332,1.32121836314478,1.8821499788205,1.58648625373668,1.92808704480207,1.8311232908381,1.80617487013588,1.84285562416215,2.09755165407993,1.92298083456833,2.07675795744696,1.87901977222099,2.10100476787675
"hsa-miR-324-5p",0.786979982946623,0.813073916795861,0.810127924241396,0.970854891789498,0.824198409881122,0.709409260023135,0.803750845729747,0.824418291199588,0.828823781822014,0.786470424259187,0.829221874200452,0.829094021145073,0.766620935998795,0.832908146355958,0.832510238794666,0.833091566006164,0.833190228298511,0.833074884003084,0.831965246494083,0.792108711732259,0.82589365667786,0.827693729967546,1.22192583203112,0.74344414647472,0.841374211890987,0.832976888901688,1.08529061153555,0.815333635907732,0.832915007472424,0.821505344129379,0.830554094586469,0.810770137900569,0.825235352741405,0.830838920785268,0.830872336838919,0.82828521381649,0.813694305920239,0.833003749609468,0.818248302168462,1.65740538655794,0.82840600545084,0.81355504178195,0.831257745592675,0.832799490342018,0.825522641084992,0.832754965321752,0.825369848363351,0.814320739438005,0.832957493464656,0.832544585048831
"hsa-miR-325",1.33409456128047,1.72568975184356,1.43240596579988,2.03222633278516,2.45669692556809,1.82535291223539,2.29669157641847,1.65824715442135,1.69006628139392,1.57832079058994,1.14878564781894,1.4927005861713,1.3524909475603,1.75382856492347,1.36647088130725,1.771684404856,2.22896668016404,1.7571849137426,1.75393519438518,1.42454192921897,1.31972828464049,2.39443986235219,2.34002089436906,2.15174172670961,2.2200395320773,2.155062801593,1.59361520249253,1.56578393351568,1.78449212180498,1.54694271746079,1.55773384942449,1.60337478510771,1.71339380261045,2.49589578541629,1.76500924203922,2.21779438340994,2.00656001413134,1.7729324691073,1.45967125098216,1.0766917776326,1.59976236573523,2.08846932418537,1.63901383267033,2.06985075604663,2.04797687512123,2.29599874701295,1.66744269206028,1.84506473506972,1.78395923052601,2.42871971471406
"hsa-miR-326",1.27158880703448,1.36705013955252,1.29392366977077,1.37905022690239,2.02585095185466,1.09275098160368,1.87050752699036,1.40063706465849,1.38939071608082,1.38488336603357,1.39489902120368,1.40549435232148,1.3439591489518,1.40760229729477,1.407626000349,1.40544147896072,1.40451214801619,1.40707786895847,1.51224082877923,1.26676369005847,1.40128062882047,1.39449182114067,1.39017160968549,1.32228094789961,1.73332789426513,1.40748029588803,1.36324508028661,1.34495492346129,1.40547179461681,1.40268598376643,1.40994347738912,1.95947079880952,1.33621491506936,1.40554728347664,1.4021843264345,1.40847506666716,1.38823668984916,1.40430244665665,1.35299912918057,2.39526157227608,1.43450753443817,1.39276585520753,1.41145224002448,1.40495043993575,1.4219976205513,1.40809103966039,1.39969943648917,1.42891498880964,1.40382394173549,1.40815015381652
"hsa-miR-328-3p",0.790275538458758,0.816581874927208,0.813637305066803,0.819147872927514,0.827852157355108,1.2746985491656,0.80728679996801,0.828026264348458,0.832438698261621,0.972095247523822,0.832847619441969,0.832741935128406,0.770014915969754,0.836561007697115,0.836155113541961,0.83675197783593,0.836856064181071,0.836727835050768,0.835609099278248,0.795407934555784,0.829518953796761,0.831299973538886,0.829159267707235,0.746519057390887,1.27924991183219,0.836632208945369,0.802507930525596,0.818765583881404,0.836576578379679,0.825100534293213,0.834191936413551,0.814274998735446,0.828783833522999,0.834500748783,0.834523032064191,0.831910456509021,0.817213975771982,0.836662717939521,0.821811215532633,1.33003589272279,0.832135681736845,0.817094833528474,0.834917879718494,0.836458931457154,0.829142825015268,0.836414678231972,0.828989439989572,0.818024107118908,0.836617698684567,0.836201369962203
"hsa-miR-328-5p",2.02306638124443,1.60017828408732,1.54055581986027,1.78347867405523,1.66199114960686,1.44094181099042,1.66599824504049,1.78117535006037,1.8663053422522,1.91506183635393,2.53272862104896,1.76744889677674,2.06105294468158,1.96251944401997,2.16688532604475,1.99794984728344,1.9114519913638,1.97629595948995,1.94862248358206,2.00982242574695,1.62714011900328,1.67832870691782,1.85862095559977,1.87489346484296,1.64331789882578,1.94218715348115,1.86751674491842,1.87507815785806,1.97575691824009,2.53158508128136,1.76863262399849,1.67643302424421,1.80345418503009,1.9204988916198,1.97719561923366,1.83253170016755,1.8030829744382,1.95611559618033,2.31882569426673,1.22758309144927,1.93929656994859,2.13017467456718,2.61783624405204,2.46454811564374,2.34726684979985,2.31083098581012,1.96964112599829,2.57708198640856,2.29844423649019,2.92154883400819
"hsa-miR-329-3p",0.87296645075957,0.903563817273195,1.11693518463623,0.9081681869639,0.919477491026592,1.22865995620304,1.24871019913392,0.917368600845547,0.921827166314463,0.876316745623212,0.923525017957233,0.923722709959658,0.847832229752766,0.927707796462647,0.927145682038249,0.92809395251351,0.928319606647731,0.92788430218951,0.926471045617855,0.874817205855737,0.920047129743678,0.921401565185013,0.918570452887651,1.0149811123852,0.865229049341155,0.92784802436137,1.18210046012032,0.905348768572554,0.927944139711385,0.914293681492479,0.925156645428284,1.14610486374526,0.917133109818335,0.925445908756111,0.925981755350107,0.922460562229657,0.904929187855725,0.927975236337205,1.2742827288164,0.823748421512727,0.924699024541266,0.905217718889738,0.926832139582875,0.927799824727772,0.920366716844253,0.927704157594157,0.91945307318654,0.911205054229153,0.927958967985818,0.927355384953316
"hsa-miR-329-5p",1.13861260397836,1.20712013145747,1.20246590300308,1.18407446339363,1.20472956369436,1.73578169289717,1.18800808051596,1.23968717424899,1.2555233900417,1.17934722447046,1.23738824021138,1.23651781070713,1.86047284441028,1.25493915341545,1.25457051539475,1.25499154041711,1.2554950949321,1.25449801884453,1.24979408821173,2.10801062400505,1.2324047990178,1.24361299170225,1.25524686938916,1.13610471638323,1.17020270398691,1.25474264228316,1.1941351318778,1.24724635861486,1.25450020231765,1.2290751220051,1.74346831156428,1.22074276788189,1.23809409594606,1.24885032588259,1.25273116861455,1.24913707690034,1.70570255778606,1.25548241891849,1.22855765918352,0.967491533377369,1.19870396241207,1.23050832397874,1.25460393550741,1.25502305282902,1.22938897138936,1.25574144761062,1.23599079638819,1.49817010943661,1.25583083703675,1.25441288400724
"hsa-miR-330-3p",0.856560640226472,0.886550262821152,0.886165142656576,0.891341666252453,0.901438223612873,1.04092985801772,0.878804587047817,0.899905690502755,0.904373813962991,1.26053117434717,0.90563317496284,0.905834251615224,0.879944740974081,0.909763397955092,0.909230024178964,0.910108069188419,0.910310785955066,0.909936738115795,0.908597149554075,0.859603947169597,1.00342814035567,0.903656002446053,1.07431632899293,1.5538240013341,0.847775606613577,0.909889864764597,0.876940674288593,0.887996907405602,0.909955516837485,0.896825398916937,0.907211370623319,0.88381258595731,0.899750090117028,0.907636069418151,0.907900551427904,0.904603550208132,0.887699362171978,0.909993560991413,0.892722471832098,1.11216607877589,0.906693227930192,0.88787850051351,0.908640871810742,0.909817041160039,0.902258315351524,0.909739422464948,0.901617932894582,0.892850534970235,0.909972354876994,0.909425979099988
"hsa-miR-330-5p",1.77872323112989,1.47803779125621,1.37764497830342,1.43638511633034,1.44461305389783,1.29303324629973,1.51649354622558,1.46736417887822,1.50658508680438,1.57595734252492,1.47775333174375,1.48661590223831,1.17134204411234,1.51672675512984,1.50860439494699,1.51297968767124,1.50617305237016,1.5202470572985,1.52399919251965,1.79915661199481,1.46642493852908,2.21308395053996,1.88788097035699,1.738253065405,1.37742157041991,1.51572604064445,1.4805786546285,1.48442916135979,1.5086068731529,1.47823202615679,1.48545672904329,1.39503388209541,1.52722090704968,1.50257381426702,1.50618828167112,1.48274365585812,1.46275577617447,1.51506056732074,1.44441432685718,2.24929841626881,1.45055367009204,1.48338029570131,1.62906690505188,1.50476468623847,1.49051274494158,2.28703573154857,1.49533690281777,1.42177268388076,1.51192396048951,1.50557290572487
"hsa-miR-331-3p",1.85355687771502,1.42715229023513,1.7394015950807,1.35054276460016,1.43535175779181,1.57003685159294,1.45331754072126,1.41560001317757,1.43293815655005,1.4476199656363,1.42932704387438,1.44517862860395,1.59797043545187,1.45539545552009,1.4566084994955,1.44919334395591,1.44780460683718,1.45541738118674,1.44734317392516,1.28025762482268,1.4308668598907,1.90043150980968,1.44536101106744,1.78496877598657,1.31315315998522,1.45480291029424,1.407893453784,1.41039831608704,1.44941917231578,1.41068573995306,1.46467730613116,1.94686681312341,2.20696119134771,1.44403920364058,1.44699599219925,1.45229548661658,1.85636435279116,1.44965185243902,1.40569237574685,0.908742115432227,1.46534429445228,1.42532384626335,1.45823421733206,1.45117360618151,1.45289413849958,1.45481687038125,1.43124724978115,1.4661248953206,1.44688533799207,1.44999813318015
"hsa-miR-331-5p",0.344700282458741,0.247952510331744,0.239438776937744,0.246506780166289,0.247555524033959,0.239190028112369,0.246895748418399,0.248799312400567,0.247263161535664,0.244971283737141,0.247291100353786,0.247632613315317,0.251766481104935,0.24741438090749,0.247435827174378,0.247470165747088,0.247533276908335,0.247325883309194,0.247504701724877,0.249151467364365,0.246370947958931,0.247853452273501,0.246722147414977,0.232967176254257,0.237683059238999,0.247422948016006,0.239214363369959,0.245407752298388,0.247561252751977,0.248090829398829,0.247566785453366,0.248499978263605,0.247297209938979,0.248242723420566,0.247010701686384,0.24775116285974,0.245561759179182,0.247468062696322,0.24722295766392,0.220505978123364,0.250439470275289,0.247507832906903,0.246639667105849,0.247592764553458,0.246991746049472,0.247696355889372,0.243759782645617,0.247076816123236,0.247507366924181,0.247647393181182
