"","NS40_1","NS40_2","NS40_3","NS40_4","NS40_5","NS40_6","NS40_7","NS40_8","NS69_1","NS69_2","NS69_3","NS69_4","NS69_5","NS69_6","NS69_7","NS69_8","NS69_9","NS122_1","NS122_2","NS122_3","NS122_4","NS122_5","NS122_6","NS122_7","NS122_8","NS122_9","NS123_1","NS123_2","NS123_3","NS123_4","NS123_5","NS123_6","NS123_7","NS123_8","NS152_1","NS152_2","NS152_3","NS152_4","NS152_5","NS152_6","NS152_7","NS152_8","NS152_9","NS246_1","NS246_2","NS246_3","NS246_4","NS246_5","NS246_6","NS246_7","NS246_8"
"hsa-miR-637",0.173670786054424,0.175696470012023,0.166640911013072,0.174442322669249,0.174303981257541,0.167909188263972,0.174162739392797,0.176003616608561,0.175002382543279,0.174248839039886,0.172665048377546,0.174543954339975,0.175734909308009,0.173460453136674,0.181766091748031,0.17422980454115,0.17387683648412,0.174337892142216,0.174240095382033,0.174263594141042,0.174395991473287,0.17892736388126,0.17354513364005,0.174450652335032,0.172995543892534,0.163848748105221,0.164105374070605,0.174073042622939,0.166987299180325,0.172185901953626,0.174533902626003,0.176089309765574,0.173968657013667,0.17469237492907,0.175829981462756,0.175823946909797,0.173673086173395,0.175346181119674,0.175118354321632,0.174299119826386,0.175035221648246,0.155545783647204,0.176601032131138,0.175432719937205,0.173146234776578,0.174215446313218,0.174335211670181,0.174469664764343,0.170834446817023,0.174466360904344,0.174247173531211
"hsa-miR-638",0.594056961432696,0.611696840458314,0.611772533828986,0.608178767344017,0.618623798247555,0.540731718458221,0.605926245753653,0.620059638991446,0.720846257571262,0.62582230859415,0.591541595376192,0.622430747432229,0.619957168071757,0.615894441289301,0.568026332706717,0.625865519523943,0.626106734409531,0.625903540069064,0.625632265271355,0.625815759693553,0.625326685378205,0.74749061167961,0.620629346435321,0.623464374026764,0.619315666596755,0.967818030993175,0.587997792917927,0.625329860903537,1.06560494065599,0.616688212722346,0.62542906744067,0.616176998073615,0.624892942882104,0.612710842457807,0.617230373402225,0.722822706578095,0.624320843065268,0.621314273550534,0.610137660523936,0.625774506841998,0.615488353514479,0.390042808852934,0.621642587354281,0.610505246749827,0.624571114603943,0.625781818122184,0.619468340893677,0.625191963270775,0.952467231753565,0.604170573927397,0.625832189889002
"hsa-miR-639",1.38484773469514,1.54090774854413,1.91661208327679,2.02225195347798,1.4969945869744,0.971311023234154,1.84069979733884,2.02490661785798,2.18626791804247,1.46298154599908,1.5489958263371,1.7755788406645,1.79630469783604,1.11091052414478,1.8063237415926,1.73703556089207,1.05617885704996,1.96540355655298,1.38701142687786,1.66795310513948,1.50370077408856,1.5120555405868,1.90777711264185,1.80362375845904,1.4257306853211,1.91777687898346,1.17481703600587,1.62296395814739,2.10562534294474,1.45428243412523,1.98432386552098,2.01320065675739,1.92466742263923,1.7071688303761,2.1388507890516,1.74470378772973,1.97594656150419,1.34838504716662,2.0310128962522,2.42996746594286,1.99179772306445,1.92525346579892,1.12133682923014,1.60976702276745,2.11835062558399,2.00319648214172,1.70796976111324,2.16942829729608,1.57451040129512,1.88287294033967,1.90429135452689
"hsa-miR-640",1.89929758702543,1.32582102079859,1.75638138247466,1.65682726782844,1.43456741122679,1.95666624908394,1.28030673759652,1.39040387377897,1.74922451328233,1.63981805832025,2.1027271106379,1.86555209053182,1.72278373342425,2.10134618193845,1.80172768024743,1.64829546535368,1.16427881447839,1.88379578261437,2.04394701143314,1.67943304313901,1.66908628952416,1.57782790210192,1.09267121940832,1.7821736570416,1.33794319304999,1.77251359122412,1.52289179518323,1.65339919168464,2.2321970585853,1.44878226131759,1.76023656513696,2.21230140858474,2.11805071540356,1.87038681047113,2.04668256005966,2.55943630729454,1.62259489067036,1.82408082462707,2.14560051990307,2.44514130502999,1.5594350297654,0.978273725560543,2.1094743755167,1.00293158193264,1.11401635309574,1.89869776393347,1.53203122424236,1.36333437275152,0.918662813428688,1.06804218211362,1.6351099191413
"hsa-miR-641",0.615383547388651,0.698925921531154,0.634203114656547,0.631258814191457,0.641688025147888,0.559323880929398,0.628358225402183,0.643451120164469,0.646933723784965,0.649381288897228,0.61303124337112,0.645722938592946,0.643249490994683,0.638729349142949,0.58944362594359,0.649425464837404,0.649620224051383,0.649479037197356,0.649192830345641,0.6493711065089,0.648847387284367,0.623806760916256,0.644058134103541,0.646798160990938,0.642340835773764,0.582854981659926,0.609299209499268,0.648860922566276,0.620548144909876,0.639349389979022,0.648957579859177,0.639301441850407,0.648369153119253,0.635504599309073,0.640224738284955,0.646119634525495,0.647763295885576,0.644662784794343,0.63298441336497,0.649330516924268,0.638582894254373,1.97023741260865,0.645022766730418,0.633351827182463,0.648055212498683,0.649318520112124,0.642562729474004,0.648754118378278,0.639475171437589,0.626926859976579,0.649390326357425
"hsa-miR-642a-3p",1.7052113998864,1.38496872229557,1.53267802869542,1.92350105565057,1.75927813491998,1.27935165753754,1.70475157243057,1.69636733979879,1.40749212940721,1.429402609932,1.37765241173615,1.72421713152943,1.38867902112683,1.43423745074384,1.20591078387239,1.43000753073052,1.41665461525965,1.43029036855226,1.42860477284172,1.42945318566706,1.42936627395717,1.80957385237704,1.37245519017777,1.4333828582326,1.43562521504533,1.40280035336772,1.26369852063284,1.42935242302641,1.41279210597749,1.37191768237634,1.42785670061834,2.05573396678914,1.42753839445314,1.35637462075196,1.76253894736376,1.41790693797169,1.42449195665385,1.41099403833752,1.36085567245272,1.42929933916614,1.40250245500408,1.29264282803798,1.43728508980479,1.44293280111864,1.41686958580488,1.43514002388976,1.41062158148556,1.43151931615838,1.39861961319144,1.36934175109378,1.42916810395215
"hsa-miR-642a-5p",1.92425566123256,1.98326708671232,1.82127800138422,1.98601944434605,1.83745651675927,1.78533621383623,1.98464537219408,2.09062506851113,2.44088836311921,1.84722970047062,1.3800982944704,1.70429858708004,1.60502273228904,1.63658920376068,1.11537133268504,2.14272928177419,1.75404888236736,2.24434429130638,1.78138683193908,1.68443073925677,1.48034569674012,1.59553536162059,1.87982270380065,1.49230403159523,1.00505370076886,1.54064418436214,1.38538158704078,1.61559764751615,1.31727823798102,1.85376735663781,1.54153762357395,1.46507358126052,1.92633504760259,1.49048230742821,2.05775319608667,2.1999998049707,1.9245595965612,2.0133453499562,1.91303798387507,2.27107324629978,1.41321650721083,1.34245645201428,1.08870293698034,1.96112311231236,1.575560498822,2.15966323477245,2.02143643765561,1.82969674144758,1.40776672395155,1.90351462096465,2.02047431498665
"hsa-miR-643",1.39753425934086,1.67682352009372,1.60767737531785,1.96687036230526,1.6522174237285,2.06499207724026,1.55239274865341,1.66669597963442,1.71806805472289,1.71042655407285,1.57619348158691,1.68940455106218,1.72891851951205,1.60603042736349,1.44798252015794,1.76989063835545,1.74041617467184,1.76639411911221,1.6997121507551,1.75718047872202,1.84062676361808,1.6025677888046,1.99497953254705,1.72749859349851,1.67498406582123,1.31712101472264,1.70204332334394,1.75436991192435,1.65383687516342,1.72066104999797,1.7466110206683,1.57500198089093,2.39084885055103,1.62416522728474,1.87695121929803,1.69599164716514,1.69087152907829,1.62296305631279,1.9025508262904,1.72659052344879,1.66290377340758,1.2692128364495,2.03553370172172,2.58040105794727,1.72606168424238,2.16455051911595,2.05278937252317,2.28406102903702,1.64461493928216,2.26924651530353,1.74372147437707
"hsa-miR-644a",1.37226313093105,1.56475923859315,1.95669289228061,1.49408185889272,1.58075187004007,1.38526757729467,1.49656570067521,2.13872580911537,1.66194450449846,1.91012347957771,1.68085992512557,1.36524542530811,1.72328868605729,2.27624752214229,1.33206250506849,1.93093001760783,1.59116390314221,1.69005709855982,1.6763670300066,1.69567333205804,1.6827323605805,2.13185703516442,1.75894567650417,2.33852363200625,1.5209926721227,1.63703906945652,1.60614068160263,2.0883371708785,2.40778306631999,1.53823962281974,1.68241267248469,2.31262058671295,2.09197292096428,1.59063107282582,2.33740949948272,2.03079698431563,1.67406456436551,2.16463150002254,1.80066254332192,1.68221026684093,2.47868924247065,1.20611087245095,1.59962980255614,1.38748243017859,1.59359438924776,1.675509545455,1.46167847148809,1.62880867409405,1.37447416607373,1.44177955571091,1.68787554735357
"hsa-miR-648",0.458275479266114,0.468615891352626,0.469726813381462,0.465378286589571,0.474374489380667,0.4222058214576,0.465673613010477,0.473683911193985,0.476290881977101,0.478002129163154,0.454863274645885,0.476060987885445,0.474491359444881,0.471219908001546,0.437223815883977,0.478020177895139,0.478380283040975,0.477959944310884,0.477788222321407,0.478005180117903,0.477771608630743,0.920882054214918,0.473947652419206,0.476737108338968,0.47394861851267,0.436767340632974,0.452183097089157,0.477612920771161,0.458404881794336,0.47231055102664,0.477844791684942,0.471427836480649,0.512813146398825,0.469034710959631,1.02021266484932,0.475716507781027,0.477057163578508,0.474850542344454,0.467875150890088,0.47797669882417,0.471132915407415,0.311582813994758,0.47597217647536,0.46736116327102,0.477169527747897,0.478070536021804,0.474466302813759,0.477396394493994,0.471191734306898,0.463143974146721,0.478007173004747
"hsa-miR-649",1.20081829387062,2.17175545908163,2.15511779361001,1.98380024929739,1.53834874017886,1.31118097277086,2.16586849487356,2.37696531010832,1.65808511691914,1.68408220833964,1.86194512529711,1.18190667852446,1.73624795185127,1.47581526882391,2.06315313017599,1.65970617931067,1.44312307695346,1.68778959288296,1.94696912996087,1.67407756948809,1.66008502654119,1.52592782651443,2.09625583834918,1.4184933723756,2.42668836000318,1.84139127656048,1.60414789775374,1.85496071277566,1.53144423488356,1.69823125349317,1.68208276016006,1.49669079753932,1.48899158989695,1.5491748249095,1.58112290810102,1.68651071109944,1.67358462192053,2.42723920792354,1.93305377095831,1.68142617818871,1.53232897531961,1.06119733146075,1.52000283803423,2.01416076977761,1.9470349024239,2.00404086198508,1.31140642930286,1.57020157256489,2.0745188028547,1.34445722837959,1.686082597934
"hsa-miR-650",1.70741098926739,1.97475376827027,1.88449682069184,1.0899101895498,1.64998115658585,1.8392770809375,1.12780576836253,2.2382370267642,1.48524781971126,1.37117957691457,1.37567268902781,1.78899220333512,1.36855309258738,1.77773559819312,1.89530437967472,2.30831359960261,1.93717367368288,2.37867007129613,1.54545106198562,2.26538631093659,1.55884931524709,1.43596981033403,1.57623198372623,1.70660482606983,0.973905818804064,1.68624993878997,1.07875547458671,2.1381020918939,1.29156270279195,1.96183227682513,1.40812607628742,1.98203704256462,2.08787961395077,1.2062710870955,2.05418235633739,2.019785521256,2.17630980601347,1.89516499111237,1.87572369597886,2.3034545021537,1.81860576829541,1.39086516819534,1.59047199806293,2.00251795179157,1.88697399661227,1.93797776465182,1.85996926079765,1.6891114293915,1.97753491005945,1.97656013358589,2.18265105788687
"hsa-miR-6503-3p",2.21777042591834,1.38859938097994,2.04742227215216,1.77811824068725,1.44522392187735,1.17361291924737,1.43745957448371,1.4717944020825,1.5167676255724,1.55196280105266,1.51000070646848,1.45627014706612,1.74601114303868,2.0531310096159,1.30894847966463,1.5420779039365,2.18208991735204,1.50338651201134,1.54356858153859,1.553717885709,2.16592832982018,1.30217040639513,1.76105566939429,1.41349202246434,1.38391102003708,1.13020829350826,1.68347236786081,1.50377475327647,1.41194933928004,1.39187569251391,1.56277317654142,1.39468310507227,1.47482088845696,1.41501351922047,1.635224312146,1.56591782276713,1.54188521080348,1.4415158358749,1.40163353045897,1.56971850881209,1.53940180530136,3.09928172475084,1.47209673968603,1.38428325599188,1.45798697775668,1.50560005494974,2.21552272801741,1.49023089729709,1.46844153250538,1.42908510819562,1.56991292594762
"hsa-miR-6503-5p",2.0635778889046,1.87510884495661,1.52002723324892,1.46396805843701,2.05937002271028,1.61599485333611,1.37791698423381,1.73155431170818,1.43130014439936,1.32148596630626,1.8613884442311,1.76605006648175,1.5160111986259,1.79352404453358,1.71221541737433,2.63302791987558,1.57087434254231,1.94639128818298,1.24769621561315,1.63731795578552,1.48107592829355,1.83733901225409,1.96073381217008,1.21164118381679,1.32492696346797,1.93297885632342,1.65172900613432,1.72238620179836,2.12265070556204,2.16285760159501,1.69676794927707,1.89498258189275,2.12317434817078,1.94067144326184,1.68577663164479,1.76204595506243,1.54206637281451,1.87847124797016,1.84608923868438,2.09151202560676,1.77679368630935,1.29579125344007,0.988497836939897,1.94561915972325,2.05709861198172,1.94570659123116,1.82834139590567,2.03169606154013,1.63964006069554,1.87107643838054,1.65229390338048
"hsa-miR-651-3p",0.716176377778156,0.743257657418243,0.741900717715043,0.742594234784967,0.752778574086807,0.647877488532575,0.736650964609075,1.24934863807377,0.759208465653608,0.762166862804904,0.71517693985093,0.75713089327043,0.755315754630131,0.746611470713555,1.01711803772312,0.762194240505176,0.762093831778114,0.762251195536527,0.761917393117132,1.02611574376577,0.761442266570597,0.731070829540586,0.756377775306829,0.758341088541373,0.752359274149819,0.677085034512161,0.776190993503989,0.761447220476078,1.0152407119476,0.746844785067497,0.761637990448772,1.33875898609164,0.76067982233755,0.744210944908683,0.749492076962176,0.758795313704941,0.759988600293337,0.756401780705585,0.743096478992101,0.762107759810967,0.749484577845011,0.450020923423356,0.75775867700697,0.742730287117778,0.760631943656962,0.761988594578052,0.753512420795264,0.761448136697283,0.74960099282259,0.73755276770857,0.762166240468973
"hsa-miR-651-5p",1.76521216652494,1.84833574038445,1.67760818223635,2.00562385379903,2.03442908021026,1.71832887540137,1.98646576342877,1.48927547774674,1.66199038380521,2.49459430516926,1.45139654453931,1.7243501069772,2.11644845500559,1.37676954593574,1.83525384966618,1.64918143570779,1.27346817257142,1.90203269212803,1.64505154031825,2.2607404446808,1.66215774887423,1.9141638902514,1.70877006307644,1.80518951643253,1.44098675071023,0.982166921523101,1.23437504427791,1.66396776991413,1.96655524666933,1.67042775262737,1.69460583357939,2.26603164145977,1.30911213112994,1.49692837036693,1.72961018358079,2.31914773640919,2.282519469559,1.54613770504691,1.39219099980605,1.69336076749903,1.41175635669804,1.97219606340701,1.79691363592475,1.10908951542133,1.27420864960283,1.54965335043402,1.13846798513332,2.23545273119405,1.03722946781454,1.89641583360032,1.70365993014608
"hsa-miR-6511a-3p",0.186359957391045,0.18867158551781,0.180303979547034,0.187462553299722,0.187764872321051,0.17931823119852,0.187190736990271,0.189130918902937,0.188334170433889,0.187703806100472,0.185026473898862,0.187916726877152,0.189022511817302,0.18654518536771,0.238958861359126,0.187684706867435,0.187378967896501,0.187776817292932,0.187677028686158,0.187717804685721,0.187847245587832,0.191382776262108,0.186816011534223,0.187855364845589,0.186284317984075,0.175961643436851,0.176925279308086,0.18751050283045,0.180021311744082,0.18541903502689,0.187976300059026,0.189129407036994,0.187398547722887,0.18761011072675,0.188950728884749,0.189092363038094,0.187110001845229,0.188575267448422,0.188170690571264,0.187750748541662,0.18818909955661,0.161800902840896,0.189966219514652,0.188300756733895,0.18662329888571,0.187681073657322,0.187675117083905,0.187865019344463,0.18417262903842,0.187327954995598,0.187702329075531
"hsa-miR-6511a-5p",2.24292689513763,1.55569270693819,1.66092892632588,2.47118271613523,1.59518840707466,1.2162508145199,1.55127967253522,1.64118462610635,1.65951107363144,1.6617792706619,2.27403968998563,1.55158203081577,1.5993333149687,1.54714570209998,1.90036409064335,1.69599686470228,1.68230686654429,1.67249670903729,1.65885222609016,1.70414497774202,1.68409168653067,1.82399836313573,1.65645320027386,1.6742531425148,1.61857041261118,1.19068039186617,1.91827373782949,1.68384667555133,2.42632969708868,1.57364618952863,1.7702762022752,1.57559638294236,1.66839454372236,1.58699233351384,1.59076982167209,1.66311095523182,1.66267549764631,1.63249426673541,1.56556458999206,1.66318842275065,2.225364599024,1.27637122502339,2.36923214946336,2.1868743552926,1.78872778642378,1.67616912365204,1.58804847269678,2.35390746019336,2.0393173324536,2.02177196016792,1.67036934030509
"hsa-miR-652-3p",1.07939385494343,1.15136630435508,1.14236407639286,1.13473837759561,1.14579310007406,1.03152506832529,1.1305826915849,1.18400932576733,1.19745814796324,1.19933028137242,1.12919909896548,1.17939737408623,1.16525346907554,1.63691737215231,1.11277631734897,1.19927911400238,1.79753664887013,1.20050483808485,1.19992493120587,1.19939180719043,1.19571986501321,1.14616060010795,1.18429197308456,1.18938828614988,1.1939087624728,1.07924240035403,1.13061806729298,1.19965743186126,1.14097085760449,1.18691065242717,1.19696386841964,1.17191671979642,1.19759606664185,1.18536087212853,1.18357454009321,1.19055896012447,1.19736869254041,1.18489943102418,1.1345678232983,1.1995243231305,1.8933891626989,2.74714630877389,1.16137181114731,1.1753808310496,1.19569552249435,1.19859606292602,1.16239179302246,1.20165296697291,1.16727000630514,1.12327758442798,1.19949776275391
"hsa-miR-652-5p",0.931102577363182,0.967686319442409,0.978147030702023,0.954828102326866,0.983041191350906,0.854705563466202,0.965912736185833,1.0347262343232,0.989150617112883,0.996668015805172,0.949241677588277,0.989172915571616,1.57348809417358,0.968792759770152,0.868492195284548,0.996552071571305,0.996108297141268,0.995991152474087,0.995747210179203,0.996656885755969,0.994942748544284,0.93590779953182,0.986214707863135,0.991487906279472,0.987476341850459,0.898090780976946,0.936074743635614,0.995816114847679,0.965682128771223,0.982538911882107,0.995724505853555,0.978574545470948,0.995508414393464,0.969919785286405,0.968289809087477,1.09010046143268,0.995742376306792,1.11695441776206,1.58072254836843,0.996729702018775,1.49458244654816,0.588665751729273,0.987807994078383,0.970678464229632,1.3375995514727,0.996360880600057,0.989742663437071,0.994941919988836,1.48409652661281,0.970597359701211,0.996572998873929
"hsa-miR-654-3p",1.07874063386462,1.38409319565902,1.3397830812073,1.41670202495686,1.36646943927891,1.3646232446023,1.41738858023734,1.48619130286922,1.43229488921448,1.45773407912935,1.35945351141427,1.41863302771446,1.39126235679088,2.30875995955116,1.28759417398843,1.45870473094975,1.43703516510356,1.46052981524556,1.46051827355934,1.45808523285671,1.45318758955632,1.5716098713431,1.71155356028818,1.4642172923649,1.46598158718791,1.27158487594447,2.02562842028805,1.45760564086279,1.77325382536393,1.97719142989436,1.45448662662706,1.43027950238892,1.44368343965684,1.39892761282617,1.86248523921521,1.44363520292285,1.50688681653729,1.42918310559902,1.37906454000835,1.45795848343238,1.55798071831653,2.41871702548834,1.44120275809561,1.49761006043417,1.45071724893972,1.4623265548355,1.44572324540058,1.46181785898722,1.48346448361725,1.38672841860635,1.45710813026962
